palabra,mean_rt,mean_error,concreteness,familiarity,aoa,palabra_noaccents
anaconda,792.0259259074074,22.857142857142858,6.174,4.095,,anaconda
análisis,603.073684218421,0.0,,,,analisis
analítica,602.9378378648648,2.631578947368421,,,,analitica
analizar,652.086842118421,0.0,,,,analizar
analogía,754.8481666633334,16.66666666666667,,,,analogia
anarquía,648.9609722166666,2.7027027027027026,,,,anarquia
anatomía,633.0870967645161,0.0,,,,anatomia
ancho,602.778125003125,5.882352941176471,,,,ancho
anciana,675.1720967741935,8.823529411764707,,,5.333,anciana
anciano,621.3270270351352,2.631578947368421,,,,anciano
ancla,622.4970588147058,2.857142857142857,,,,ancla
anclar,655.7763158052632,0.0,,,,anclar
andadura,781.8757575848485,10.81081081081081,,,9.95,andadura
andar,575.2166666611112,0.0,,,,andar
andén,607.9911764882353,0.0,,,,anden
anécdota,675.9378378513513,0.0,,,,anecdota
anestesia,680.4454545484848,2.941176470588235,5.652,4.714,8.615,anestesia
ángel,544.1529411794118,0.0,,,,angel
anguila,684.6416666777777,7.6923076923076925,,,,anguila
ángulo,628.0447368236842,0.0,,,,angulo
angustia,663.2878787909091,5.714285714285714,,,,angustia
angustiado,681.79338235,5.555555555555555,3.552,5.724,,angustiado
anhelo,701.195999996,26.47058823529412,,,,anhelo
anillo,565.2363636181818,0.0,,,,anillo
animación,628.6083333722222,2.7027027027027026,,,,animacion
animal,571.6765277833333,0.0,,,,animal
animar,642.9385714257143,2.777777777777778,,,,animar
ánimo,572.2891892243243,2.631578947368421,,,,animo
aniquilar,751.7129032258065,20.51282051282051,,,,aniquilar
anís,744.706935483871,13.88888888888889,,,,anis
aniversario,650.1973683710527,0.0,,,3.2,aniversario
anoche,617.2277777583333,5.263157894736842,5.3,6.455,,anoche
anochecer,688.0911111027777,0.0,,,,anochecer
anomalía,734.6444444416667,7.6923076923076925,,,,anomalia
anónima,745.8466666666667,6.25,,,,anonima
anonimato,707.1727272848485,8.333333333333332,,,8.278,anonimato
anónimo,628.0297297027028,2.631578947368421,,,,anonimo
anorak,804.76,66.66666666666666,,,,anorak
anorexia,728.1290322580645,11.428571428571429,,,,anorexia
anormal,665.7078947315789,0.0,2.5,5.515,,anormal
anotar,674.7242424242424,2.941176470588235,,,,anotar
ansia,685.0390243829269,2.3809523809523814,,,,ansia
ansiedad,611.983783772973,0.0,,,,ansiedad
ansioso,592.3565789421052,2.564102564102564,3.897,5.862,,ansioso
ante,721.3000000290323,11.428571428571429,,,,ante
antebrazo,672.0970588294118,0.0,,,,antebrazo
antecedente,705.3316176470588,5.555555555555555,,,,antecedente
antecesor,761.268750025,15.789473684210531,,,9.19,antecesor
antena,678.4081081216216,2.631578947368421,,,,antena
antepasado,654.4507894763158,5.0,,,8.105,antepasado
anterior,568.174193548387,3.125,3.957,6.762,,anterior
antes,626.8322580677419,0.0,3.9,6.75,,antes
antesala,808.166666675,41.46341463414634,,,10.65,antesala
anticiclón,832.7689655172413,12.12121212121212,,,,anticiclon
anticipación,693.3162162243243,2.631578947368421,,,,anticipacion
anticipar,700.7115714285715,2.777777777777778,3.696,5.524,,anticipar
anticipo,757.1314285714286,10.25641025641026,,,9.381,anticipo
anticuado,735.9899999833333,14.28571428571428,,,,anticuado
antídoto,724.8298484909091,2.941176470588235,,,,antidoto
antifaz,677.6435897128205,2.5,6.0,4.75,,antifaz
antigüedad,607.7529411941176,0.0,,,,antiguedad
antiguo,638.1657894710527,2.564102564102564,,,,antiguo
antipatía,673.3294444388889,2.7027027027027026,,,,antipatia
antipático,669.6457142857142,0.0,,,,antipatico
antisocial,684.6777777805555,0.0,4.304,6.577,,antisocial
antiterrorista,828.2867647,0.0,5.308,4.364,9.812,antiterrorista
antojo,665.1805555416666,2.7027027027027026,,,,antojo
antología,668.3729730054054,2.631578947368421,,,,antologia
antorcha,705.2777777805555,5.263157894736842,,,,antorcha
antropología,701.3606060606061,0.0,,,,antropologia
antropólogo,710.2114285742857,0.0,,,,antropologo
anular,641.7757575757576,0.0,,,,anular
anunciar,609.765625,3.03030303030303,,,6.5,anunciar
anuncio,567.7914285657143,0.0,,,,anuncio
anzuelo,766.4,5.714285714285714,6.043,4.095,7.769,anzuelo
añadidura,746.3999999956521,30.303030303030297,,,,anadidura
añadir,614.5210526052632,0.0,,,,anadir
año,585.1638571428572,2.777777777777778,,,,ano
añoranza,782.7095161290323,13.88888888888889,,,,anoranza
apagar,606.639687496875,3.03030303030303,,,,apagar
aparador,726.015384625641,7.142857142857142,,,,aparador
aparato,660.28,0.0,,,,aparato
aparcamiento,667.9511628162791,0.0,5.609,6.143,5.577,aparcamiento
apareamiento,798.9136363757576,10.81081081081081,4.947,4.68,,apareamiento
aparecer,635.13484375,3.03030303030303,,,4.429,aparecer
aparecido,677.4212121151515,5.714285714285714,,,6.095,aparecido
