palabra,Action_Mean,Action_SD,BodyExp_Mean,BodyExp_SD,Evaluation _Mean,Evaluation _SD,Feeling_Mean,Feeling_SD,Interoception_Mean,Interoception_SD,Morality_Mean,Morality_SD,SenExp_Mean,SenExp_SD,SocInt_Mean,SocInt_SD,Thought_Mean,Thought_SD,palabra_noaccents
autoconfiado,5.75,1.1887150534341144,4.956521739130435,1.9881069312188597,4.421052631578948,1.4649910683718717,5.95,1.3562719801760001,4.6521739130434785,2.013786475369086,4.380952380952381,1.6575943555704598,3.227272727272727,1.8498859213686456,4.45,1.8771478925557026,5.565217391304348,1.1609591237233645,autoconfiado
autoconfianza,4.954545454545454,1.7855844108615224,4.9523809523809526,1.6575943555704598,5.916666666666667,1.3160106602801576,5.7727272727272725,1.4119158946291717,4.884615384615385,2.160128201323673,5.478260869565218,1.5335509956067594,4.454545454545454,1.8955404488096772,3.619047619047619,2.2243244025139517,5.75,1.5852942612451615,autoconfianza
autoestima,5.136363636363637,1.6986116051885984,5.571428571428571,1.938335073495513,6.125,1.0759222535351585,5.545454545454546,1.6826077472687546,5.230769230769231,1.773306342574623,5.260869565217392,1.684620035507004,4.818181818181818,1.6223546566748686,4.428571428571429,1.9383350734955136,5.5,1.7621756887140216,autoestima
autosatisfacción,4.913043478260869,1.928566200298244,4.608695652173913,1.8522499937982697,6.5,0.8017837257372732,6.045454545454546,1.2527027058580464,5.95,1.1909748329127618,5.625,1.3452816094393218,4.478260869565218,2.3329568678043695,4.7,1.9761738683361685,4.904761904761905,1.6402671094904604,autosatisfaccion
autosuficiencia,5.35,1.5985190514644279,4.3478260869565215,1.8975749033526954,6.476190476190476,0.8135752957807649,4.863636363636363,1.320009182704516,3.8095238095238093,2.27198256197198,5.045454545454546,1.7855844108615224,3.260869565217391,2.0274792074788075,3.4,2.1618705350983247,4.333333333333333,2.057506581601462,autosuficiencia
autosuficiente,5,1.7320508075688772,4.181818181818182,2.4810973692791976,5.9523809523809526,1.5961262630566069,4.285714285714286,2.1712405933672376,4.260869565217392,1.9121000188832795,5.095238095238095,1.75797502555531,2.8181818181818183,1.592732412176175,3.8095238095238093,2.4211370803621928,4.086956521739131,2.172410547970343,autosuficiente
avaricia,4.7,2.0799797569865155,3.1818181818181817,1.9913231694950886,2.857142857142857,2.1514114968019085,4.809523809523809,2.0400746951777924,3.347826086956522,1.8242980132387139,2.9047619047619047,1.9976176286957896,,,4.333333333333333,1.932183566158592,3.869565217391304,1.81669900008697,avaricia
avaricioso,4.863636363636363,1.6986116051885984,3.4285714285714284,2.399404688072201,2.5416666666666665,1.6675722177612806,4.2727272727272725,1.8563101696342252,3.769230769230769,2.0843740990079938,2.6956521739130435,1.8934044040178395,3.782608695652174,1.7826568970635437,3.7142857142857144,1.8746428231227712,3.95,2.139232523470435,avaricioso
avergonzado,4.7272727272727275,1.750695594595207,5.545454545454546,1.4384936806479447,3.238095238095238,2.2562083659263807,6.181818181818182,1.332250642668929,5.375,1.2445533509971602,4.142857142857143,2.197401062294143,,,4.35,1.8144159564878983,5.238095238095238,1.6704718466577617,avergonzado
avergonzar,5.23684210526316,1.79238947454215,4.94594594594595,1.95712297271539,3.34285714285714,2.16852968815356,5.54838709677419,1.62969751134823,4.96969696969697,2.00756146364265,4.71794871794872,2.10198800573369,,,5.29268292682927,2.15921168993483,4.63333333333333,2.34128366401901,avergonzar
