palabra,ico-m,ico-sd,palabra_noaccents
agarrar,4.72,1.815,agarrar
agarre,3.48,2.143,agarre
ágata,2.0,1.512,agata
agenda,2.88,1.9,agenda
ágil,2.542,2.064,agil
agilizar,2.55,1.82,agilizar
agitación,3.2,1.399,agitacion
agitar,3.04,1.947,agitar
aglomerado,2.25,1.86,aglomerado
aglutinar,3.6,1.708,aglutinar
agonizante,4.571,1.886,agonizante
agosto,2.333,1.798,agosto
agotamiento,2.88,1.878,agotamiento
agotar,2.8,1.893,agotar
agradable,3.6,1.78,agradable
agradecer,2.25,1.585,agradecer
agradecimiento,3.72,2.189,agradecimiento
agrado,2.64,1.63,agrado
agravamiento,3.16,1.972,agravamiento
agravar,2.565,1.727,agravar
agravio,3.059,1.919,agravio
agregación,3.417,1.998,agregacion
agregado,3.261,2.137,agregado
agregar,3.04,1.513,agregar
agresor,4.048,1.857,agresor
agria,3.783,2.11,agria
agrícola,3.24,2.047,agricola
agricultura,2.864,1.983,agricultura
agropecuaria,1.75,1.765,agropecuaria
agrupación,3.4,1.581,agrupacion
agrupar,2.522,1.62,agrupar
aguacero,3.4,1.759,aguacero
aguafuerte,3.095,1.998,aguafuerte
aguamarina,4.6,2.198,aguamarina
aguantar,3.0,1.871,aguantar
aguante,2.091,1.823,aguante
aguardar,2.476,1.887,aguardar
agudeza,2.25,1.422,agudeza
aguilucho,3.44,2.022,aguilucho
agujero,3.44,2.238,agujero
ahijada,1.3,0.801,ahijada
ahijado,2.619,1.936,ahijado
ahínco,3.143,2.107,ahinco
ahogo,4.4,2.021,ahogo
ahondar,3.9,1.861,ahondar
ahora,3.591,1.968,ahora
ahorra,2.217,1.413,ahorra
ahorro,2.348,1.584,ahorro
ahuyentar,3.0,1.718,ahuyentar
airoso,3.583,1.932,airoso
aislante,3.211,2.123,aislante
aislar,3.045,1.704,aislar
ajeno,2.143,1.59,ajeno
ajo,3.15,2.183,ajo
ajuar,1.917,1.24,ajuar
ajustar,3.76,2.026,ajustar
ajuste,2.72,1.882,ajuste
ala,2.955,1.939,ala
alabado,3.5,2.065,alabado
alabanza,4.273,1.956,alabanza
alacena,2.071,0.917,alacena
alado,3.5,2.198,alado
alambrado,2.048,1.465,alambrado
álamo,1.947,1.649,alamo
alar,2.727,1.348,alar
alarde,3.143,2.151,alarde
alargar,3.611,2.09,alargar
alarido,3.19,2.112,alarido
alarmante,3.913,2.109,alarmante
alas,2.714,1.586,alas
albanesa,2.217,1.65,albanesa
albaricoque,1.913,1.505,albaricoque
albedrío,1.8,1.508,albedrio
albergar,2.2,1.633,albergar
albina,2.429,1.502,albina
albornoz,2.091,1.571,albornoz
alboroto,4.2,2.016,alboroto
albufera,1.5,0.756,albufera
álbum,2.88,2.223,album
alcachofa,2.632,1.674,alcachofa
alcaide,2.238,1.546,alcaide
alcalde,2.24,1.665,alcalde
alcaldía,2.36,1.68,alcaldia
alcance,2.0,1.732,alcance
alcantarillado,3.2,2.102,alcantarillado
alcanzar,4.05,1.849,alcanzar
alcayata,1.941,1.249,alcayata
alcázar,1.059,0.243,alcazar
alcoba,2.1,1.944,alcoba
alcohol,3.36,2.252,alcohol
alcohólica,3.04,1.989,alcoholica
alcoholismo,2.333,1.798,alcoholismo
alcornoque,2.1,1.683,alcornoque
aldea,1.905,1.48,aldea
aleación,2.714,2.004,aleacion
aleatorio,2.3,1.593,aleatorio
alegación,2.053,1.433,alegacion
alegar,2.68,1.626,alegar
alegato,2.167,1.465,alegato
alegoría,1.556,1.097,alegoria
alegórica,2.2,1.673,alegorica
alegra,2.909,1.509,alegra
alegro,2.5,1.504,alegro
alejamiento,2.333,1.853,alejamiento
alejar,3.04,1.968,alejar
alelí,3.471,2.095,aleli
alemán,2.318,1.644,aleman
alentar,2.826,1.614,alentar
alero,2.667,1.534,alero
alertar,3.7,2.105,alertar
aleta,2.318,1.644,aleta
aletas,3.8,1.958,aletas
aleteo,4.36,1.955,aleteo
alfa,3.304,2.285,alfa
alfabético,3.478,1.904,alfabetico
alfabetización,2.2,1.803,alfabetizacion
alfabeto,3.25,2.447,alfabeto
alfalfa,2.96,1.744,alfalfa
alfarería,2.238,1.338,alfareria
alfarero,3.235,2.047,alfarero
alférez,1.278,0.752,alferez
alfil,2.96,1.62,alfil
alga,2.92,1.73,alga
algarabía,3.35,2.159,algarabia
algarrobo,3.25,2.172,algarrobo
álgebra,2.619,1.532,algebra
