palabra,ico-m,ico-sd,palabra_noaccents
piramidal,3.545,2.262,piramidal
pirámide,2.571,1.399,piramide
piraña,3.24,1.877,pirana
piratear,3.64,1.955,piratear
piratería,2.8,1.673,pirateria
pirita,2.0,1.414,pirita
pirueta,3.476,1.834,pirueta
pis,5.826,1.696,pis
pisa,3.55,2.259,pisa
pisamierdas,2.318,1.524,pisamierdas
pisar,3.88,2.166,pisar
piso,2.28,1.646,piso
pispa,3.684,2.428,pispa
pispar,4.048,1.884,pispar
pistacho,2.96,2.189,pistacho
pistón,3.0,1.592,piston
pita,2.6,1.759,pita
pitar,5.455,1.92,pitar
pito,4.286,2.053,pito
pívot,3.048,1.962,pivot
pivote,2.81,1.721,pivote
pizca,5.24,1.964,pizca
pizcar,2.895,1.883,pizcar
placa,3.48,1.896,placa
placas,3.522,1.855,placas
placenta,1.81,1.436,placenta
placentero,3.579,2.116,placentero
plaga,4.04,2.051,plaga
plagio,2.773,2.022,plagio
plana,4.083,1.816,plana
planeación,3.056,2.127,planeacion
planeamiento,2.542,1.911,planeamiento
planear,2.773,1.824,planear
planeta,2.0,1.604,planeta
planetario,3.136,1.726,planetario
planicie,2.579,1.539,planicie
planificación,3.28,1.815,planificacion
planificar,3.0,1.708,planificar
plantación,3.3,1.867,plantacion
plantar,2.19,1.834,plantar
plante,1.444,0.705,plante
planteamiento,2.182,1.435,planteamiento
plantear,2.92,1.73,plantear
planteo,2.095,1.578,planteo
plantilla,2.565,1.701,plantilla
plasma,2.857,1.931,plasma
plasmar,2.826,2.208,plasmar
plasta,4.64,2.099,plasta
plástica,2.375,1.498,plastica
plasticidad,4.4,2.198,plasticidad
plastilina,3.333,2.2,plastilina
plata,1.792,1.382,plata
plataforma,1.826,1.337,plataforma
platanero,2.636,2.105,platanero
plátano,3.125,2.401,platano
plátanos,2.579,1.865,platanos
platea,2.471,1.736,platea
plateado,3.6,1.5,plateado
plática,3.368,1.921,platica
platillo,3.56,2.123,platillo
platino,2.708,1.601,platino
plató,3.409,2.175,plato
platónico,2.783,1.882,platonico
plausible,2.65,1.496,plausible
playas,2.045,1.588,playas
playera,3.24,1.921,playera
playero,3.522,2.372,playero
plaza,2.45,1.731,plaza
plazo,2.042,1.16,plazo
plazoleta,3.0,1.864,plazoleta
plebe,2.524,1.75,plebe
plegaria,3.15,2.059,plegaria
plena,3.667,2.198,plena
plenaria,1.882,0.993,plenaria
pleno,3.24,1.943,pleno
plexo,2.2,1.824,plexo
pliego,3.409,1.652,pliego
pliegue,2.64,1.551,pliegue
plomo,3.92,2.253,plomo
plumaje,3.25,1.511,plumaje
plumas,3.0,2.268,plumas
plumífero,3.85,1.843,plumifero
plural,2.826,1.875,plural
pluralidad,3.273,1.316,pluralidad
pluralismo,2.833,2.408,pluralismo
pluralista,2.333,1.606,pluralista
plus,5.04,1.767,plus
plusmarca,2.867,1.922,plusmarca
plusvalía,3.36,1.912,plusvalia
plutón,3.48,2.22,pluton
plutonio,2.81,1.94,plutonio
pluvial,4.0,1.447,pluvial
población,2.591,1.709,poblacion
poblacional,2.56,1.356,poblacional
poblado,3.44,2.063,poblado
poblamiento,1.955,1.43,poblamiento
poblar,3.095,1.841,poblar
pobrecito,3.4,1.732,pobrecito
pocas,3.32,1.909,pocas
poción,3.0,1.979,pocion
poco,2.75,1.511,poco
podadora,3.16,2.135,podadora
poderosa,3.333,2.297,poderosa
podio,2.727,1.882,podio
podólogo,3.0,2.025,podologo
podredumbre,3.4,1.78,podredumbre
poemario,2.579,1.465,poemario
poeta,3.08,2.12,poeta
poética,3.5,1.896,poetica
polaco,2.8,1.848,polaco
polar,2.545,1.792,polar
polaridad,3.2,2.308,polaridad
polarización,2.842,1.675,polarizacion
polca,2.647,1.73,polca
pole,1.722,1.018,pole
polémica,2.182,1.22,polemica
polémico,3.261,2.137,polemico
polen,2.19,1.47,polen
policial,1.619,1.244,policial
polideportivo,2.5,1.933,polideportivo
poliéster,2.875,2.193,poliester
polifónica,3.958,2.032,polifonica
poligonal,2.826,1.922,poligonal
polígono,2.857,2.081,poligono
polímero,2.652,2.036,polimero
polinización,2.952,1.161,polinizacion
polinomio,2.619,1.987,polinomio
polio,2.478,1.675,polio
política,2.217,1.413,politica
póliza,1.833,1.007,poliza
polla,3.92,2.272,polla
pollo,1.762,1.179,pollo
polución,2.35,1.694,polucion
polvo,3.12,2.088,polvo
pomelo,2.208,1.641,pomelo
pómulos,2.091,1.659,pomulos
pon,4.957,2.099,pon
ponche,2.0,1.14,ponche
poncho,2.957,1.846,poncho
ponderación,1.955,1.43,ponderacion
ponderar,2.238,1.67,ponderar
ponencia,2.0,1.363,ponencia
ponente,2.0,1.348,ponente
poner,2.1,1.683,poner
pongo,2.32,1.406,pongo
poni,3.304,2.098,poni
poniente,3.64,2.079,poniente
pontificado,2.636,1.706,pontificado
pontífice,2.333,1.879,pontifice
pontificia,2.12,1.364,pontificia
pop,5.65,1.981,pop
popa,2.636,1.814,popa
populacho,3.0,1.761,populacho
popular,3.12,2.007,popular
populares,2.227,1.51,populares
popularidad,3.143,2.175,popularidad
popularizar,2.364,1.787,popularizar
populismo,2.333,1.592,populismo
populista,2.56,1.85,populista
poquito,5.0,1.871,poquito
porcelana,2.857,1.352,porcelana
porcentaje,1.5,0.964,porcentaje
porcentual,3.375,2.163,porcentual
porche,1.818,1.532,porche
porcino,2.684,1.887,porcino
pormenorizado,3.333,1.857,pormenorizado
porno,3.04,1.814,porno
pornográfico,3.522,2.172,pornografico
porqué,2.636,2.06,porque
porra,3.286,1.978,porra
porrazo,4.318,1.701,porrazo
porro,2.7,1.976,porro
porta,2.812,1.87,porta
portaaviones,2.833,2.16,portaaviones
portada,2.6,1.581,portada
portador,2.545,1.969,portador
portal,2.375,1.765,portal
portar,1.818,1.5,portar
portátil,3.684,2.237,portatil
portavoz,3.368,1.892,portavoz
portazo,2.48,1.806,portazo
porte,4.3,2.618,porte
portera,3.125,2.133,portera
portezuela,1.684,1.734,portezuela
portillo,2.7,1.593,portillo
portón,5.48,1.295,porton
portuaria,2.636,2.105,portuaria
portugués,2.8,1.756,portugues
portuguesa,2.0,1.414,portuguesa
porvenir,2.684,2.029,porvenir
posa,2.533,1.767,posa
posada,2.227,1.572,posada
posar,2.64,1.705,posar
pose,3.0,1.924,pose
poseedor,3.96,2.245,poseedor
poseer,3.0,1.979,poseer
posesión,4.04,1.814,posesion
posgrado,3.28,1.745,posgrado
posguerra,4.24,2.087,posguerra
posibilidad,1.667,1.155,posibilidad
posibilitar,3.4,1.957,posibilitar
posicionamiento,1.833,1.465,posicionamiento
posicionar,2.96,1.62,posicionar
positivismo,3.4,1.893,positivismo
positivista,3.095,1.895,positivista
posó,2.333,1.683,poso
posponer,2.818,1.943,posponer
posta,2.381,1.658,posta
postal,3.36,1.777,postal
poste,3.0,1.911,poste
posteridad,2.957,2.011,posteridad
posterior,2.55,1.638,posterior
posteriori,4.524,2.136,posteriori
posterioridad,2.762,1.64,posterioridad
postgrado,3.348,2.058,postgrado
postguerra,3.96,2.071,postguerra
postre,2.318,1.81,postre
postulado,2.526,1.679,postulado
postular,1.381,0.921,postular
póstumo,2.667,1.713,postumo
postura,2.4,1.528,postura
pota,2.96,1.744,pota
potable,2.091,1.509,potable
potar,5.08,1.498,potar
potasio,2.421,1.835,potasio
potencia,3.56,1.981,potencia
potenciación,3.391,2.061,potenciacion
potencial,3.76,2.006,potencial
potencialidad,3.0,1.817,potencialidad
potenciar,3.0,2.082,potenciar
potente,4.636,1.916,potente
potestad,1.818,1.332,potestad
potrero,2.792,2.021,potrero
potrillo,2.727,1.804,potrillo
potro,2.5,1.642,potro
práctica,3.96,2.131,practica
practicante,3.32,2.304,practicante
practicar,3.16,1.972,practicar
prado,2.24,1.422,prado
pragmático,3.2,2.215,pragmatico
pragmatismo,2.524,1.887,pragmatismo
preámbulo,1.864,1.39,preambulo
precampaña,2.727,1.932,precampana
precaria,2.0,1.265,precaria
precariedad,3.08,2.235,precariedad
precaución,3.435,1.903,precaucion
precedente,1.476,0.873,precedente
preceder,2.64,1.68,preceder
preceptivo,1.714,1.271,preceptivo
precepto,2.421,2.09,precepto
preceptor,2.286,1.678,preceptor
precio,2.08,1.441,precio
preciosa,2.905,1.7,preciosa
precioso,2.318,1.644,precioso
precipitación,3.318,1.862,precipitacion
precipitaciones,3.125,1.65,precipitaciones
precipitar,3.92,2.08,precipitar
precisar,2.92,1.913,precisar
precisión,3.4,1.903,precision
preciso,3.96,1.925,preciso
precocidad,2.526,1.577,precocidad
precolombina,2.053,1.615,precolombina
precoz,2.591,1.992,precoz
precursor,2.2,1.473,precursor
predecesor,2.64,1.63,predecesor
predecesora,2.261,1.764,predecesora
predecible,2.56,1.609,predecible
predecir,3.182,2.152,predecir
predicación,1.909,1.377,predicacion
predicado,2.542,1.693,predicado
predicador,2.88,1.856,predicador
predicar,1.955,1.397,predicar
predicativo,2.095,1.446,predicativo
predicción,2.8,1.555,prediccion
predilección,2.16,1.675,predileccion
predilecto,1.95,1.605,predilecto
predisposición,2.455,1.711,predisposicion
predominar,2.0,1.304,predominar
predominio,1.952,1.244,predominio
preeminencia,2.611,1.539,preeminencia
preescolar,2.64,1.655,preescolar
prefabricada,3.12,1.922,prefabricada
prefacio,1.75,1.055,prefacio
prefecto,2.842,1.675,prefecto
preferencia,3.36,2.018,preferencia
preferencial,3.04,1.881,preferencial
preferente,3.15,1.872,preferente
preferible,2.28,1.792,preferible
preferir,3.4,2.257,preferir
prefijo,3.05,2.164,prefijo
pregunta,2.4,1.78,pregunta
preguntar,3.13,2.262,preguntar
prehispánica,3.24,1.943,prehispanica
prehistoria,4.36,2.059,prehistoria
prehistórico,3.304,2.077,prehistorico
preliminar,2.565,1.701,preliminar
preludio,2.105,1.629,preludio
prematura,2.364,1.761,prematura
premisa,2.08,1.605,premisa
premura,2.667,2.462,premura
prender,2.304,1.608,prender
preocupante,3.696,1.987,preocupante
preparación,1.19,0.602,preparacion
preparador,1.909,1.109,preparador
preparatoria,1.957,1.364,preparatoria
preponderancia,2.688,1.778,preponderancia
preponderante,2.227,1.51,preponderante
preposición,2.304,1.769,preposicion
prepotencia,3.4,2.291,prepotencia
prerrogativa,1.889,1.079,prerrogativa
presagiar,2.0,1.0,presagiar
presagio,2.714,1.617,presagio
prescindir,1.682,1.086,prescindir
prescribir,2.2,1.08,prescribir
prescripción,2.56,1.85,prescripcion
presencia,2.952,1.746,presencia
presenciar,3.2,1.795,presenciar
presentación,2.952,2.085,presentacion
presentar,3.2,2.0,presentar
presentimiento,3.64,2.139,presentimiento
preservación,3.0,2.121,preservacion
preservar,2.8,1.704,preservar
presidencia,3.56,1.895,presidencia
presidenta,3.105,1.912,presidenta
presidiar,2.095,1.609,presidiar
presidio,2.333,1.572,presidio
presidir,2.857,1.74,presidir
presionar,3.24,1.855,presionar
prestación,2.043,1.609,prestacion
préstamo,2.32,1.464,prestamo
prestar,2.409,1.968,prestar
preste,2.043,1.609,preste
presteza,2.842,1.893,presteza
prestigioso,2.55,1.761,prestigioso
presto,2.5,1.395,presto
presumir,2.909,1.925,presumir
presunción,3.2,1.78,presuncion
presunto,2.32,1.626,presunto
presuponer,2.625,1.861,presuponer
presupuestaria,1.8,0.913,presupuestaria
presupuesto,3.043,1.965,presupuesto
pretemporada,2.316,1.6,pretemporada
pretender,1.857,1.352,pretender
pretendiente,1.773,1.412,pretendiente
pretensión,2.619,1.431,pretension
pretérito,2.348,1.695,preterito
pretexto,2.28,1.904,pretexto
prevalecer,2.143,1.352,prevalecer
prevalencia,2.909,1.688,prevalencia
prevaricación,1.765,1.2,prevaricacion
prevención,1.667,1.065,prevencion
prevenir,3.0,1.604,prevenir
preventiva,2.478,1.648,preventiva
prever,3.32,1.842,prever
previa,2.95,1.849,previa
previsible,2.417,1.84,previsible
previsión,2.905,1.609,prevision
previsor,1.286,0.561,previsor
primacía,1.85,1.268,primacia
primar,2.714,1.821,primar
primaria,3.0,1.842,primaria
primer,3.0,2.38,primer
primera,2.455,1.819,primera
primigenio,2.529,1.505,primigenio
primitiva,1.455,1.184,primitiva
primitivo,3.24,1.921,primitivo
primogénito,3.333,2.129,primogenito
primordial,2.478,1.78,primordial
principado,1.333,0.577,principado
principio,3.08,1.891,principio
prior,2.25,1.65,prior
priori,3.25,1.751,priori
prioritario,3.2,1.826,prioritario
prisa,2.667,1.56,prisa
prisionera,2.318,1.701,prisionera
prisma,1.895,1.329,prisma
priva,1.947,1.615,priva
privar,2.87,1.66,privar
privatización,3.143,1.652,privatizacion
privatizar,2.6,2.028,privatizar
proa,2.391,1.5,proa
probable,1.955,1.362,probable
probeta,2.476,1.861,probeta
problemática,2.375,1.715,problematica
procedencia,2.217,1.678,procedencia
procedente,2.1,1.294,procedente
proceder,2.375,1.837,proceder
procedimiento,1.682,1.323,procedimiento
procesado,3.2,1.979,procesado
procesador,2.76,2.047,procesador
procesal,2.333,1.834,procesal
procesamiento,3.045,2.058,procesamiento
procesar,2.091,1.377,procesar
procesión,2.909,1.823,procesion
procesional,1.667,0.84,procesional
procesionaria,2.696,1.964,procesionaria
proclama,2.6,1.581,proclama
proclamación,2.652,1.873,proclamacion
proclamar,2.8,1.633,proclamar
proclive,1.588,0.87,proclive
procreación,2.409,1.709,procreacion
procurador,2.72,2.092,procurador
procurar,2.44,1.609,procurar
prodigalidad,2.643,1.906,prodigalidad
prodigiosa,3.92,1.778,prodigiosa
pródigo,1.955,1.327,prodigo
producción,3.095,2.119,produccion
producir,1.958,0.999,producir
productividad,2.5,1.818,productividad
productivo,3.0,2.318,productivo
productor,3.04,2.071,productor
productora,2.591,1.843,productora
proeza,2.714,1.419,proeza
profana,2.8,1.607,profana
profanación,3.316,2.083,profanacion
profano,2.542,1.615,profano
profecía,2.84,1.818,profecia
proferir,2.36,1.254,proferir
profesa,2.688,1.58,profesa
profesión,3.7,1.593,profesion
profesional,2.696,1.795,profesional
profesionalidad,3.16,1.993,profesionalidad
profesionalismo,3.8,2.062,profesionalismo
profesionalización,2.409,1.764,profesionalizacion
profesorado,3.708,2.136,profesorado
profunda,3.92,1.977,profunda
profundidad,4.55,2.282,profundidad
profundización,2.476,1.75,profundizacion
profundizar,3.25,1.65,profundizar
profundo,4.88,2.068,profundo
profusión,1.667,0.888,profusion
progenitor,3.238,1.895,progenitor
programación,2.636,1.677,programacion
programador,3.6,2.102,programador
progresar,2.88,1.716,progresar
progresión,3.048,1.774,progresion
progresista,2.55,1.986,progresista
progresiva,3.087,1.564,progresiva
prohíbe,2.095,1.48,prohibe
prohibir,4.16,2.055,prohibir
prójimo,2.227,1.572,projimo
prole,1.773,1.232,prole
proletaria,1.714,1.384,proletaria
proletariado,2.435,1.927,proletariado
proliferación,2.25,1.342,proliferacion
prolífico,4.0,1.745,prolifico
prólogo,2.333,1.606,prologo
prolonga,4.238,1.895,prolonga
prolongación,4.48,2.064,prolongacion
prolongar,2.708,1.829,prolongar
promediar,3.1,2.1,promediar
promedio,2.72,1.72,promedio
promesa,1.76,1.332,promesa
prometedor,2.19,1.167,prometedor
prometer,2.048,1.465,prometer
prometida,2.72,1.768,prometida
prometido,2.043,1.261,prometido
prominente,3.88,2.297,prominente
promocional,2.217,1.65,promocional
promocionar,3.375,2.143,promocionar
promotor,2.826,1.899,promotor
promover,2.957,1.942,promover
promulgación,1.95,1.468,promulgacion
promulgar,2.19,1.03,promulgar
pronombre,2.524,1.662,pronombre
pronosticar,2.88,1.878,pronosticar
pronóstico,1.8,1.24,pronostico
pronta,3.8,2.093,pronta
prontitud,1.421,1.121,prontitud
pronto,4.1,2.049,pronto
pronuncia,2.684,1.765,pronuncia
pronunciación,1.571,1.248,pronunciacion
pronunciamiento,3.4,2.217,pronunciamiento
pronunciar,2.591,1.709,pronunciar
propagación,2.8,1.795,propagacion
propaganda,2.909,2.091,propaganda
propagar,2.55,1.395,propagar
propano,2.286,1.736,propano
propensión,2.4,1.732,propension
propenso,1.81,1.537,propenso
propiciar,3.545,1.738,propiciar
propicio,2.35,1.694,propicio
propiedad,2.375,1.61,propiedad
propietaria,3.28,2.052,propietaria
propina,2.88,2.007,propina
propinar,2.895,1.629,propinar
propio,2.429,1.63,propio
proponer,3.32,1.994,proponer
proporcional,2.522,1.534,proporcional
proporcionalidad,2.714,1.678,proporcionalidad
proporcionar,2.667,1.528,proporcionar
proposición,2.667,1.713,proposicion
propósito,2.87,1.914,proposito
propugnar,1.632,1.461,propugnar
propulsión,4.85,1.954,propulsion
propulsor,3.28,1.308,propulsor
prórroga,3.429,1.748,prorroga
prorrogar,3.32,1.651,prorrogar
prosa,2.833,1.971,prosa
proseguir,1.955,1.214,proseguir
prospecto,1.818,1.296,prospecto
próspera,3.85,2.254,prospera
próstata,2.476,1.289,prostata
prostitución,2.68,1.865,prostitucion
protagonismo,2.8,1.732,protagonismo
protagonista,2.864,1.754,protagonista
protagonizar,2.792,2.021,protagonizar
protección,3.227,1.875,proteccion
proteccionismo,2.591,1.79,proteccionismo
proteccionista,2.55,1.504,proteccionista
protector,2.95,1.986,protector
protectorado,2.5,1.532,protectorado
proteína,1.905,1.091,proteina
protesta,2.64,2.039,protesta
protestante,3.72,1.621,protestante
protestantismo,2.571,1.72,protestantismo
protestar,3.619,1.987,protestar
protocolo,2.773,2.069,protocolo
prototipo,2.56,1.66,prototipo
provecho,2.391,1.616,provecho
provechoso,3.35,1.981,provechoso
proveedor,2.565,1.701,proveedor
proveer,2.857,1.558,proveer
proveniente,2.455,2.041,proveniente
provenir,2.72,1.745,provenir
provenzal,2.45,1.538,provenzal
proverbial,3.6,1.803,proverbial
proverbio,2.524,1.692,proverbio
providencia,2.053,1.649,providencia
providencial,2.208,1.141,providencial
provincial,2.565,1.903,provincial
provisión,1.818,1.368,provision
provisional,2.1,1.483,provisional
provocador,3.9,2.15,provocador
provocar,3.2,2.331,provocar
proximidad,3.05,2.012,proximidad
próximo,3.273,2.051,proximo
proyección,2.273,1.609,proyeccion
proyectar,3.4,2.0,proyectar
proyectil,2.773,1.541,proyectil
proyecto,2.88,1.764,proyecto
prudencia,2.87,1.632,prudencia
prudente,2.917,1.998,prudente
prueba,2.84,1.864,prueba
pseudónimo,3.32,1.773,pseudonimo
psicología,2.9,2.024,psicologia
psicológicas,2.318,1.249,psicologicas
psicológico,2.045,1.588,psicologico
psicólogo,3.125,2.112,psicologo
psique,2.952,1.83,psique
psiquiatría,2.88,2.147,psiquiatria
psiquiátrico,3.435,2.128,psiquiatrico
psíquica,4.04,1.859,psiquica
psoriasis,2.9,2.36,psoriasis
púa,4.045,2.193,pua
pubertad,3.0,2.111,pubertad
pubis,2.905,1.814,pubis
pública,2.087,1.505,publica
publicar,2.8,1.658,publicar
publicitaria,3.05,1.638,publicitaria
público,3.0,2.121,publico
puchero,3.9,2.198,puchero
pudor,2.714,1.617,pudor
puebla,2.391,1.588,puebla
pueblecito,4.16,2.014,pueblecito
pueblito,4.48,1.917,pueblito
puerco,3.458,1.793,puerco
pueril,2.238,1.609,pueril
puerro,3.0,2.179,puerro
puertas,3.053,1.87,puertas
puertorriqueño,3.6,2.16,puertorriqueno
pues,2.727,2.142,pues
puesta,2.6,1.323,puesta
puesto,2.652,1.722,puesto
puf,6.25,1.595,puf
pugna,2.118,1.317,pugna
pujante,2.6,1.639,pujante
pujanza,2.375,1.173,pujanza
pulgada,3.143,1.59,pulgada
pulgar,3.75,1.803,pulgar
pulgón,4.105,1.792,pulgon
pulidora,2.458,1.444,pulidora
pulmón,2.84,1.93,pulmon
pulmonar,2.857,1.982,pulmonar
pulmonares,2.591,1.652,pulmonares
pulmonía,2.72,1.882,pulmonia
pulpa,2.571,1.66,pulpa
pulpería,2.08,1.525,pulperia
púlpito,4.261,2.179,pulpito
pulsar,3.571,1.938,pulsar
pulso,3.391,1.588,pulso
puma,3.16,2.135,puma
punk,4.391,1.924,punk
punky,4.833,1.761,punky
punta,4.261,2.072,punta
puntaje,2.524,1.692,puntaje
puntería,2.81,1.914,punteria
puntiaguda,4.88,1.965,puntiaguda
punto,2.381,1.802,punto
puntuación,2.773,1.798,puntuacion
puntual,2.6,1.875,puntual
puntualidad,3.391,1.828,puntualidad
puntualizar,3.826,1.992,puntualizar
punzante,3.8,2.093,punzante
puñado,3.4,2.113,punado
puñetazo,4.909,1.659,punetazo
pupitre,3.75,2.511,pupitre
pura,3.217,2.215,pura
puras,1.833,1.239,puras
puré,1.286,0.784,pure
purga,2.429,1.886,purga
purificación,2.8,1.528,purificacion
purificar,3.32,2.322,purificar
púrpura,3.19,1.94,purpura
puta,3.091,2.114,puta
putada,3.92,2.12,putada
putón,4.16,2.055,puton
putrefacción,3.48,2.064,putrefaccion
quad,3.458,2.0,quad
que,4.08,2.1,que
quebrada,3.292,2.156,quebrada
quebrantahuesos,3.792,2.604,quebrantahuesos
quebrantar,3.913,1.881,quebrantar
quebranto,2.368,1.383,quebranto
quebrar,4.16,1.886,quebrar
quechua,3.143,1.982,quechua
quedar,2.652,2.058,quedar
quedo,3.13,2.052,quedo
quehacer,3.042,1.853,quehacer
quejar,2.333,1.623,quejar
quema,2.619,2.109,quema
querella,2.5,1.792,querella
querer,3.52,1.828,querer
queso,2.2,1.756,queso
quicio,2.333,1.465,quicio
quien,2.92,1.913,quien
quilla,2.211,1.686,quilla
químico,3.64,1.8,quimico
quincena,3.227,2.092,quincena
quinta,2.583,1.64,quinta
quinteto,4.2,1.936,quinteto
quinto,2.2,1.936,quinto
quiquiriquí,2.917,2.283,quiquiriqui
quirófano,2.5,1.933,quirofano
quiste,3.16,1.795,quiste
quitameriendas,3.429,2.501,quitameriendas
quitar,2.52,1.873,quitar
quite,2.263,1.522,quite
quito,2.917,1.84,quito
quizá,3.52,1.96,quiza
quizás,2.7,2.08,quizas
rábano,2.95,1.932,rabano
rabino,2.773,1.998,rabino
rabioso,3.0,1.976,rabioso
rabo,3.75,2.613,rabo
racha,3.44,2.022,racha
racimo,3.0,1.852,racimo
raciocinio,2.944,2.014,raciocinio
ración,3.8,2.262,racion
racional,2.8,1.633,racional
racionalidad,2.96,1.791,racionalidad
racionalismo,3.476,2.064,racionalismo
racionalista,2.542,1.865,racionalista
racionalización,3.52,2.143,racionalizacion
racionalizar,3.28,1.99,racionalizar
racismo,3.81,1.94,racismo
racista,2.143,1.493,racista
radar,2.2,1.361,radar
radiación,3.727,2.12,radiacion
radiactividad,3.0,1.936,radiactividad
radiactivo,3.56,1.781,radiactivo
radiadores,2.095,1.375,radiadores
radial,2.826,2.059,radial
radical,4.04,1.645,radical
radicalismo,3.72,2.031,radicalismo
radicalización,4.0,2.0,radicalizacion
radicar,2.435,1.472,radicar
radiodifusión,2.913,2.021,radiodifusion
radiofónico,2.765,1.821,radiofonico
radiografía,2.136,1.521,radiografia
radiólogo,3.16,2.115,radiologo
radioterapia,3.6,2.16,radioterapia
ráfaga,4.36,1.35,rafaga
rafting,3.227,1.875,rafting
raíces,3.6,1.789,raices
raíz,3.64,1.934,raiz
rallador,5.45,1.905,rallador
rally,4.0,2.472,rally
rama,2.632,1.892,rama
ramaje,2.389,1.819,ramaje
ramal,2.778,1.768,ramal
rambla,2.45,1.572,rambla
ramillete,3.318,1.887,ramillete
rampa,1.857,1.195,rampa
ranchera,3.048,2.291,ranchera
rancho,2.55,2.164,rancho
rango,2.435,1.409,rango
ranking,3.682,2.033,ranking
ránking,2.5,1.535,ranking
ranura,3.6,2.082,ranura
rap,3.045,2.257,rap
rapaz,3.667,2.129,rapaz
rape,3.042,2.216,rape
rapero,3.818,2.239,rapero
rapidez,4.28,2.17,rapidez
rápidos,3.44,2.083,rapidos
rapiña,2.5,1.99,rapina
raqueta,2.714,1.901,raqueta
raquetas,2.318,2.009,raquetas
rara,3.727,2.186,rara
rascacielos,4.958,1.829,rascacielos
rascar,4.04,2.3,rascar
rasera,1.562,1.209,rasera
rasero,2.529,1.772,rasero
rasgar,2.714,1.875,rasgar
rasgo,2.9,2.024,rasgo
raso,2.85,1.631,raso
rastrear,4.042,2.01,rastrear
rastreo,2.65,1.631,rastreo
rastrillo,3.789,1.873,rastrillo
ratificación,2.571,1.69,ratificacion
ratificar,2.952,1.532,ratificar
ratio,2.68,1.887,ratio
ratito,3.44,2.022,ratito
rato,2.045,1.914,rato
ratones,1.95,1.538,ratones
raya,3.773,1.798,raya
rayo,3.591,1.968,rayo
rayón,3.294,2.312,rayon
raza,2.08,1.579,raza
razón,2.083,1.558,razon
razonable,2.429,1.938,razonable
razonar,3.0,2.064,razonar
reabrir,3.25,1.939,reabrir
reacción,3.75,1.917,reaccion
reaccionar,3.28,1.487,reaccionar
reaccionario,3.76,1.899,reaccionario
reacio,2.19,1.721,reacio
reactivación,2.227,1.688,reactivacion
reactivar,4.36,1.955,reactivar
reactor,3.591,2.085,reactor
reafirmar,3.88,1.922,reafirmar
reagge,4.6,1.667,reagge
reagrupación,3.409,2.016,reagrupacion
reajuste,3.04,1.881,reajuste
real,3.083,2.145,real
realista,2.952,2.269,realista
realización,4.05,1.791,realizacion
realizador,3.12,1.922,realizador
realizar,2.72,1.671,realizar
realzar,3.429,1.599,realzar
reanudación,2.15,1.182,reanudacion
reanudar,2.083,1.586,reanudar
reaparecer,3.8,1.936,reaparecer
reaparición,2.227,1.412,reaparicion
reapertura,2.55,1.986,reapertura
rebajar,3.667,1.711,rebajar
rebaño,2.619,1.687,rebano
rebasar,3.625,2.018,rebasar
rebeca,1.905,1.221,rebeca
rebelar,3.042,2.136,rebelar
rebeldía,3.84,1.908,rebeldia
rebosar,3.636,2.15,rebosar
rebote,2.52,1.917,rebote
rebujito,2.4,1.92,rebujito
rebuznar,4.64,1.777,rebuznar
recabar,2.143,1.352,recabar
recaer,3.08,1.778,recaer
recaída,3.65,1.631,recaida
recambio,2.174,1.642,recambio
recapacitar,3.0,2.0,recapacitar
recapitulación,2.72,1.595,recapitulacion
recarga,4.0,2.082,recarga
recato,2.6,1.818,recato
recaudación,2.95,1.731,recaudacion
recaudar,2.36,1.729,recaudar
recelo,2.609,1.901,recelo
recepción,2.591,1.681,recepcion
recepcionista,2.8,1.756,recepcionista
receptáculo,3.522,2.108,receptaculo
receptividad,2.35,1.694,receptividad
receptivo,3.0,1.581,receptivo
receptor,2.95,1.905,receptor
receptora,2.45,2.064,receptora
recesión,2.792,1.668,recesion
receso,2.583,1.792,receso
receta,1.81,1.167,receta
recetario,2.842,1.772,recetario
rechace,2.727,2.051,rechace
rechaza,3.636,1.989,rechaza
rechazar,3.84,2.035,rechazar
recibí,1.958,1.732,recibi
recibidor,1.857,1.276,recibidor
recibimiento,2.05,1.701,recibimiento
reciclado,2.5,1.655,reciclado
reciclaje,2.88,1.563,reciclaje
recién,2.429,1.66,recien
reciente,1.143,0.478,reciente
recinto,2.905,1.841,recinto
recio,2.958,1.876,recio
recipiente,3.28,1.792,recipiente
recíproca,2.864,1.859,reciproca
reciprocidad,2.667,1.39,reciprocidad
recital,3.3,1.72,recital
recitar,2.429,1.886,recitar
reclamación,3.0,2.047,reclamacion
reclamada,2.545,1.654,reclamada
reclamar,3.96,2.031,reclamar
reclamo,2.045,1.397,reclamo
reclusión,2.6,1.635,reclusion
recluta,2.75,1.713,recluta
reclutamiento,3.5,2.177,reclutamiento
reclutar,2.409,1.623,reclutar
recobrar,3.24,1.786,recobrar
recodo,2.714,1.927,recodo
recoger,2.667,1.623,recoger
recogida,1.714,1.454,recogida
recogimiento,2.72,2.031,recogimiento
recolección,2.318,1.756,recoleccion
recomendable,2.15,1.599,recomendable
recomendación,2.182,1.5,recomendacion
recomendada,2.88,1.716,recomendada
recomendado,2.87,2.322,recomendado
recomendar,2.8,1.704,recomendar
recomponer,3.875,2.153,recomponer
reconciliación,2.857,1.957,reconciliacion
