palabra,mean_awe,mean_relief,mean_excitement,mean_amusement,mean_pleasure,mean_contentment,mean_serenity,sd_awe,sd_relief,sd_excitement,sd_amusement,sd_pleasure,sd_contentment,sd_serenity,palabra_noaccents
rebote,1.95,1.75,1.9,2.35,1.5,1.7,1.8,1.19097,0.8507,1.11921,1.08942,0.76089,1.0311,0.95145,rebote
recabar,2.16667,2.0,2.57895,2.0,2.11111,2.35,1.78947,1.29479,1.18818,1.1698,1.13759,1.02262,1.08942,0.91766,recabar
recado,1.9,1.9,2.35,2.0,1.84,2.3,1.73684,1.33377,1.02084,0.9333,0.97333,0.98658,1.21828,0.93346,recado
recaer,2.0,1.3,1.45,1.29167,1.33333,1.05,1.25,1.20605,0.80131,0.99868,0.9079,0.91287,0.22361,0.44426,recaer
recalcar,2.1,2.05,2.45,1.95238,1.7,2.35,2.16667,1.11921,0.88704,1.05006,1.11697,0.92338,1.22582,1.09014,recalcar
recaudación,2.7,2.625,3.25,1.95238,2.65,3.21053,2.04545,1.30182,1.20911,1.16416,1.20317,1.42441,1.35724,1.0901,recaudacion
recaudar,3.25,3.15,3.0,2.3,2.56,3.3,2.25,1.40955,0.9333,1.29777,1.26074,1.38684,1.0311,1.20852,recaudar
recelo,1.4,1.33333,1.6,1.6,1.25,1.35,1.19048,0.59824,0.59409,0.88258,0.75394,0.55012,0.67082,0.40237,recelo
recepción,2.05,2.18182,2.45,1.95238,2.4,2.2,1.85,1.19097,1.40192,1.14593,1.11697,1.0463,1.10501,0.9333,recepcion
receptor,2.18182,1.95,2.2,1.9,2.0,2.7,2.17391,1.05272,1.14593,1.15166,0.96791,1.33771,1.34164,1.11405,receptor
recesión,1.26316,1.88235,1.61111,1.2,1.55,1.47368,1.33333,0.45241,1.11144,0.97853,0.52315,0.88704,0.69669,0.48795,recesion
receta,2.27273,2.40909,2.95455,2.83333,3.2,3.45,2.95,1.20245,1.33306,1.2527,1.40393,1.00525,1.2763,1.43178,receta
rechazado,1.45,1.05,1.25,1.4,1.3,1.15,1.3,0.99868,0.22361,0.55012,0.94032,0.7327,0.36635,0.47016,rechazado
rechazar,1.8,2.05,1.72727,1.55,1.5,2.05,2.05,1.15166,1.23438,0.98473,0.82558,0.64807,1.31689,1.19097,rechazar
rechazo,1.59091,1.65,1.25,1.2,1.35,1.15,1.45,1.14056,0.9333,0.91047,0.52315,0.9333,0.36635,0.75915,rechazo
recibimiento,2.86957,3.05,3.25,2.95,3.6,3.25,2.48,1.32474,1.35627,1.55174,1.35627,1.35336,1.25132,1.55778,recibimiento
recibir,3.05,3.29167,3.31818,3.25,3.8,3.95,2.19048,1.31689,1.19707,1.3934,1.37171,0.52315,0.75915,1.28915,recibir
reciclado,2.75,3.45,3.1,1.95,2.9,3.8,2.45,1.65036,1.35627,1.29371,1.35627,1.37267,1.23969,1.23438,reciclado
reciclaje,3.35,3.4,2.45,1.95238,3.3,3.65,2.72727,1.46089,1.18766,1.43178,1.02353,0.8645,1.42441,1.3159,reciclaje
reciclar,2.75,3.35,3.75,2.55,3.15,3.3,3.45,1.65036,1.08942,1.20852,1.2763,1.42441,1.38031,0.99868,reciclar
reciente,1.83333,2.34783,2.5,1.65,2.45,2.4,2.3,1.00722,0.88465,1.35724,0.87509,1.19097,1.23117,1.08094,reciente
recinto,1.9,1.7,1.85,2.22727,1.8,2.0,2.2,0.96791,0.97872,0.9333,1.10978,0.83351,1.02598,1.23969,recinto
recio,1.90476,1.5,1.52381,1.57895,1.63158,1.68421,1.73684,1.13599,0.85912,0.7496,1.07061,1.01163,1.15723,0.99119,recio
recipiente,1.7,2.1,1.6,2.05,1.65,1.9,2.05,1.08094,0.96791,0.82078,1.05006,0.87509,1.16529,1.23438,recipiente
recíproca,2.6,3.25,3.6,3.5,3.75,3.77273,3.75,1.3917,1.29269,1.23117,1.14708,1.01955,1.23179,1.44641,reciproca
reciprocidad,3.6,2.90476,3.42857,3.35,3.95,4.13636,3.6,1.53554,1.41084,1.20712,1.30888,1.14593,1.24577,1.18766,reciprocidad
recital,2.7,2.3,2.75,3.21053,2.95,2.65,2.32,1.17429,1.30182,1.25132,1.13426,1.23438,1.30888,1.06927,recital
reclamación,1.85,1.90909,1.9,1.4,1.9,2.1,1.36364,0.98809,1.23091,1.25237,0.75394,0.78807,1.02084,0.90214,reclamacion
reclamar,1.65,2.2,2.4,1.45455,1.95,2.3,1.55,1.22582,1.00525,1.14248,0.73855,0.99868,1.49032,0.88704,reclamar
reclamo,2.1,1.75,2.3913,1.7,1.95,1.95,1.95833,1.29371,0.91047,1.23359,1.0311,1.2763,0.99868,1.26763,reclamo
reclusión,1.7,1.5,1.57895,1.09091,1.35,1.36842,1.43478,1.38031,1.10024,1.01739,0.29424,0.74516,0.68399,0.84348,reclusion
reclutamiento,1.45,1.35,1.73913,1.6,1.6,1.95,1.5,0.75915,0.58714,1.13688,1.09545,0.82078,1.43178,0.68825,reclutamiento
reclutar,1.7,1.7,2.15,1.95,1.9,1.7,1.65,0.8645,1.0311,1.03999,1.09904,1.16529,1.08094,0.98809,reclutar
recobrar,1.8,2.63158,3.4,2.0,3.10526,2.78947,3.0,1.00525,1.01163,1.09545,1.09545,1.44894,1.22832,1.02598,recobrar
recogedor,1.66667,2.83333,1.65,1.75,2.0,1.7,2.3,0.8165,1.40393,0.81273,1.11803,1.07606,1.08094,1.34164,recogedor
recoger,1.5,3.05,2.25,1.8,2.7,2.4,2.5,0.76089,1.43178,1.25132,1.19649,1.38031,1.18766,1.4327,recoger
